ID,Condition,Humanness,Harm,Gender,Age,Pain,Experience,Q14097,Q15620
88,4,2,Harmed,1,18,7,4.714285714,5.428571429,1
106,4,2,Harmed,2,34,6,5.142857143,6.571428571,5
140,4,2,Harmed,2,18,4,2.571428571,5.571428571,3
158,4,2,Harmed,1,28,3,4.285714286,4.142857143,3
178,4,2,Harmed,2,38,4,2.142857143,4.142857143,4
205,4,2,Harmed,1,20,7,6.142857143,5.428571429,1
248,4,2,Harmed,1,32,7,5,5.428571429,1
258,4,2,Harmed,2,18,2,2.428571429,2.285714286,1
263,4,2,Harmed,1,45,5,4.571428571,4.428571429,2
270,4,2,Harmed,2,31,4,4,3.571428571,1
275,4,2,Harmed,2,18,5,4.142857143,4.142857143,5
276,4,2,Harmed,2,31,1,1,1,1
288,4,2,Harmed,1,22,6,4.142857143,3.142857143,3
292,4,2,Harmed,1,33,6,6,5.857142857,6
304,4,2,Harmed,2,25,4,4,4.142857143,4
318,4,2,Harmed,1,20,4,3.571428571,4.285714286,5
325,4,2,Hamerd,2,26,1,1,2,4
330,4,2,Harmed,2,22,2,1,2.142857143,2
343,4,2,Harmed,2,18,3,1.857142857,3,1
347,4,2,Harmed,2,18,5,5.285714286,6.714285714,5
349,4,2,Harmed,1,19,1,2.142857143,2.571428571,1
351,4,2,Harmed,2,18,3,2.571428571,5,4
354,4,2,Harmed,1,19,1,1.714285714,2.714285714,1
355,4,2,Harmed,1,23,6,6,6.428571429,2
357,4,2,Harmed,2,19,5,3.142857143,4,1
358,4,2,Harmed,2,18,4,3.714285714,5.571428571,1
360,4,2,Harmed,1,19,1,1.142857143,1.857142857,1
361,4,2,Harmed,1,18,4,2.142857143,1.857142857,1
363,4,2,Harmed,2,18,4,3.857142857,4.285714286,1
366,4,2,Harmed,2,18,4,3.428571429,4.428571429,4
368,4,2,Harmed,2,18,2,3,4.857142857,1
372,4,2,Harmed,1,19,77,2.857142857,2.714285714,1
374,4,2,Harmed,1,19,3,2.857142857,3.857142857,2
380,4,2,Harmed,1,18,1,2.428571429,2.142857143,4
381,4,2,Harmed,1,19,1,1,1,1
382,4,2,Harmed,2,20,1,1,2.571428571,1
384,4,2,Harmed,2,18,1,1,1,2
385,4,2,Hamerd,1,18,1,1.428571429,2,1
386,4,2,Harmed,1,43,1,1,1,1
387,4,2,Harmed,1,18,1,1,1,1
388,4,2,Harmed,2,18,5,6.142857143,5.285714286,7
390,4,2,Harmed,2,19,2,2.428571429,2.714285714,1
393,4,2,Hamerd,2,41,1,1,2.142857143,1
413,4,2,Harmed,2,43,4,4,4.285714286,5
415,4,2,Harmed,2,22,5,5,4,4
419,4,2,Harmed,1,27,4,4.571428571,4.857142857,6
422,4,2,Harmed,2,21,7,4.714285714,5,7
424,4,2,Harmed,2,29,1,2.142857143,2.571428571,3
426,4,2,Harmed,2,20,3,2.714285714,4,7
427,4,2,Harmed,1,18,1,1.428571429,1.428571429,1
