id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4twQOhvaqsYxVLZwUxqYsO,Dayanak,63,152576,0,['Dogukan Saritas'],['530b8gZ5AZjVYeJwQGdSeC'],30/07/2020,62.2,0.582,11,-7.891,0,0.0418,0.76,8.79E-06,0.0863,0.371,98.984,4
5GAdMAL3tRJkVN1HtwohK2,Vai Ter Que Aguentar,71,172076,0,"['Mc Don Juan', 'Maiara & Maraisa']","['7Lmrb6KcIzfkmgbtokjsAL', '59jlthNnbmim5l9tmNA7se']",08/05/2020,69.1,0.558,6,-6.64,1,0.0455,0.331,0,0.0545,0.905,125.87,4
1dnDsxeWtaQ5QMRzTcFsIm,<U+0E40><U+0E17><U+0E32><U+0E40><U+0E17><U+0E32>,41,170375,0,['Morvasu'],['4S7sdsjS2srUTDPXAuOYw8'],24/09/2020,78.6,0.738,7,-5.137,1,0.0782,0.302,0,0.1,0.454,114.968,4
2Ee9amLUslOwgoJWZEpSSD,Mystery Lady (feat. Don Toliver),77,228453,0,"['Masego', 'Don Toliver']","['3ycxRkcZ67ALN3GQJ57Vig', '4Gso3d4CscCijv0lmajZWs']",10/11/2020,74.7,0.494,3,-7.957,0,0.141,0.393,0,0.0982,0.624,76.006,4
0GzuHFG4Ql6DoyxFRnIk3F,Hawái - Remix,83,200482,0,"['Maluma', 'The Weeknd']","['1r4hJ1h58CWwUQe3MxPuau', '1Xyo4u8uXC1ZmMpatF05PJ']",05/11/2020,76.6,0.788,6,-3.128,0,0.312,0.105,5.81E-06,0.142,0.609,179.984,4
73TM9iCEp8VtKZNXZADbQb,Déjà Vu,60,207947,0,['NCT DREAM'],['1gBUSTR3TyDdTVFIaQnc02'],12/10/2020,43.8,0.881,1,-3.451,1,0.179,0.075,0,0.121,0.419,171.909,4
4A4c8ijro3nlKgv39PDaAV,Bird,48,130952,0,['Platarc'],['1hXBals1WPTaY2OfYEjTak'],29/12/2020,23.5,0.0689,0,-17.829,1,0.0405,0.973,0.877,0.102,0.425,165.617,3
2X5s0oMbQKSt6S6d9EyMQG,Backstage,40,216585,1,"['CA$HANOVA BULHAR', 'Patrik Love ICY L']","['3aBiDlzy0xIlHfbHAWYton', '1YV8tnErKoEiXuWGYWMI8N']",10/11/2020,74.5,0.833,2,-6.471,1,0.508,0.373,0,0.0963,0.561,164.084,4
7fuPKXieOyX6mkFHkfcIJd,Så'n der,52,155460,1,['Tessa'],['3pJK3CUpbnyX7ogDfAwa9J'],13/03/2020,87.9,0.677,6,-5.016,1,0.0703,0.0121,0.000181,0.207,0.775,102.011,4
5lzHp4xQ5kioRYu1jG3Q54,PDW,55,188867,0,"['Bialas', 'Mata', 'Deemz']","['2ufQfSFDFXfMS7MEMzdGZE', '0MIG6gMcQTSvFbKvUwK0id', '3gm9b6AeMf2eGQTLashkDt']",05/08/2020,86.5,0.716,1,-5.204,1,0.0438,0.651,0,0.0972,0.851,127.998,4
37BfHeyvJKjwr7uHhpR69S,Hooligans,46,187500,1,"['Sadam', 'Beats Pliz']","['5svarA8QyRUWetgH9ZouQq', '6x6jVrxZYv8bB6fwPsg79E']",10/11/2020,73.7,0.715,2,-8.975,1,0.297,0.126,0,0.0586,0.563,128.11,4
23E53f3C9SJ9MqBh1f6hEw,Juramento eterno de sal,73,205547,0,['Álvaro De Luna'],['5N3YDBGT2gUzXgLDTwPRi5'],05/11/2020,63.1,0.594,2,-5.727,1,0.0581,0.0225,1.91E-06,0.351,0.716,129.991,4
187Pge0WmJNoS73kaIORSE,Figurinha - Ao Vivo,72,206002,0,"['Douglas & Vinicius', 'MC Bruninho']","['7M83IzPXGA4ClZJ5reW2Ro', '3shPgAzHMyRwWOkXeoWKeB']",10/07/2020,59.1,0.757,7,-3.322,1,0.0734,0.346,0,0.931,0.574,76.094,4
4AkBrI4VRERwkSVb1I7xFU,Milión Mínus,40,208000,1,"['Dame', 'Milion Plus']","['3AK5bCDWwrpsweYJq3mjNs', '5nnHdjcmMZ0uDgAauJQyFE']",10/07/2020,72.3,0.714,8,-4.104,1,0.227,0.432,0,0.11,0.606,89.981,4
75dLEqanQTupF3dtP9exT5,Yikes,74,156882,1,['Nicki Minaj'],['0hCNtLu0JehylgoiP8L4Gh'],07/02/2020,91.1,0.637,8,-8.381,1,0.447,0.0409,3.68E-05,0.238,0.66,149.996,4
30G3mpYB26smJ7961OmZo4,Whistle Song,55,144509,1,['kizaru'],['5NipqMGsY4AUeb7kGT8aVz'],13/11/2020,77.7,0.457,7,-8.742,1,0.142,0.101,5.08E-05,0.0892,0.339,160.075,4
6XiB2NVxr6QYWSJ6qVLT2p,Moglo byc nic,56,252314,0,['Kwiat Jabloni'],['53l3yjX8ITilPIlCRsVKEB'],06/11/2020,58.5,0.63,4,-8.519,0,0.0365,0.171,3.01E-06,0.112,0.204,148.001,4
4jVJQs8KWpovHznkDADXwR,Viernes 13,33,352000,0,"['BARBEL', 'Anyuri', 'Dubosky', 'El Zeta', 'LH']","['6oYwraA8pyfDH4Otny6ooZ', '3CC7UwBlcBeQtj20V9xjiE', '6tMb6Fah1HWzlaHE9ylNGJ', '24iSgjiesQ2bhUsHsav2uk', '4ebruhG8pei8qFQOfNxxLs']",13/11/2020,71.3,0.676,4,-5.818,0,0.237,0.0412,0,0.0812,0.307,93.989,4
6O8AI2tOKLKQ6C3Emm2KAL,New Years 2020,12,187800,1,['meija'],['5Uc38SFcTd4bzDk3hhvRu1'],01/01/2020,59.1,0.323,0,-8.758,1,0.0423,0.268,0,0.292,0.384,75,4
0xKBkLcF71uUQeTA7FSu4A,BEST ON EARTH (feat. BIA) - Bonus,74,160720,1,"['Russ', 'BIA']","['1z7b1Pr1rSlvWRzsW3HOrS', '6veh5zbFpm31XsPdjBgPER']",31/01/2020,84.6,0.748,5,-3.512,0,0.078,0.188,0,0.093,0.597,90.006,4
3tSC2qXHQvCfpvHD8qU48e,Yildiz Tozu,54,193636,0,['Ozbi'],['4DG2pTwQBor7a6wtoEABau'],15/05/2020,64.7,0.699,2,-5.192,1,0.26,0.0229,0,0.154,0.184,176.019,4
2xtP8RNbo2BEMzLX7tK7aq,CRY FOR ME,77,204168,0,['TWICE'],['7n2Ycct7Beij7Dj7meI4X0'],18/12/2020,70.2,0.692,10,-5.405,1,0.0539,0.0542,0,0.0877,0.419,144.896,4
5GhJIMWAw0uMLgkdbt6uMz,Fallin’ (Adrenaline),76,216504,0,"[""Why Don't We""]",['2jnIB6XdLvnJUeNTy5A0J2'],29/09/2020,60.6,0.9,0,-4.504,1,0.119,0.0101,0,0.075,0.233,133.963,4
0TuHarhoEmK2YdRcTq8hHT,Hello,47,277960,0,"['Jam Hsiao', 'JJ Lin']","['4AJcTAMOLkRl3vf4syay8Q', '7Dx7RhX0mFuXhCOUgB01uM']",26/05/2020,38.2,0.398,0,-6.479,1,0.0355,0.331,0,0.192,0.207,125.902,4
2MdloxY70RQRuhtfXIzdWJ,<U+041C><U+0435><U+043D><U+044F> <U+043D><U+0435> <U+0431><U+0443><U+0434><U+0435><U+0442>,61,253598,0,"['ANIKV', 'SALUKI']","['4uWhcZCwuPopf6JGvwsN2B', '07tFgedhta5b5WaF0Yj4bH']",15/05/2020,76.1,0.408,4,-11.306,0,0.0732,0.393,0.000798,0.123,0.302,106.99,4
7cjFLy14VVVjqaZdFLVXJ5,3SEX,56,257027,0,"['Indochine', 'Christine and the Queens']","['7knmbOGe07k85GmK50vACB', '04vj3iPUiVh5melWr0w3xT']",11/12/2020,70,0.635,0,-8.683,1,0.048,0.434,7.59E-06,0.144,0.303,137.995,4
1pIXewLP89AOO9xSpPb47A,De va inte jag,52,204944,1,['Dani M'],['5ILMkt5lW4KAyTXMNYWaGF'],25/12/2020,70.9,0.438,6,-13.905,0,0.491,0.466,0,0.175,0.674,89.104,4
51uXmhqGR76tT2UeKZyeN6,Quero Você do Jeito Que Quiser,73,215979,0,"['Marília Mendonça', 'Maiara & Maraisa']","['1yR65psqiazQpeM79CcGh8', '59jlthNnbmim5l9tmNA7se']",10/07/2020,69.8,0.604,4,-4.574,1,0.0457,0.501,0,0.251,0.353,127.707,4
